|TRX_CODE|TC_GROUP|TC_SUBGROUP|D3
0|8997|PAY|INT-PAY|Deposit Transfer at Check-In
1|8998|PAY|INT-PAY|Deposit Balance Forward
2|9000|PAY|CASH|Cash
3|9001|PAY|CASH|Check NIS
4|9002|PAY|DB|City Ledger
5|9003|PAY|CCARD|American Express USD Offline
6|9004|PAY|CCARD|VISA USD offline
7|9005|PAY|CCARD|MasterCard USD offline
8|9006|PAY|CCARD|Diners Club USD offline
9|9007|PAY|OTHER PAY|Delayed Check NIS
10|9008|PAY|CASH|Check USD
11|9011|PAY|CCARD|American Express NIS Offline
12|9012|PAY|CCARD|VISA NIS offline
13|9013|PAY|CCARD| DO NOT USE !!- GO TO 9206
14|9014|PAY|CCARD|Diners Club NIS offline
15|9015|PAY|CCARD|MasterCard NIS offline
16|9019|PAY|CCARD|Union Pay USD
17|9020|PAY|CCARD|Union Pay NIS
18|9021|PAY|CCARD|Amex NIS Simphony Offline
19|9022|PAY|CCARD|VISA NIS Simphony Offline
20|9024|PAY|CCARD|Diners NIS Simphony Offline
21|9025|PAY|CCARD|MasterCard NIS Simphony Offline
22|9030|PAY|CCARD|Direct Settlement
23|9100|PAY|OTHER PAY|Bank Benleumi/Hapoalim USD
24|9101|PAY|OTHER PAY|Bank Benleumi/Hapoalim NIS
25|9102|PAY|OTHER PAY|Bank Leumi NIS
26|9103|PAY|OTHER PAY|Bank  Leumi USD
27|9104|PAY|OTHER PAY|Advanced Deposit
28|9106|PAY|OTHER PAY|SFC Deposit USD
29|9107|PAY|OTHER PAY|SFC Deposit NIS
30|9111|PAY|OTHER PAY|Nis - CC transfer for Parking
31|9112|PAY|OTHER PAY|Dolar- CC Transfer For Parking
32|9122|PAY|CCARD|Visa USD SFC Deposit
33|9123|PAY|CCARD|Visa NIS SFC Deposit
34|9124|PAY|CCARD|Amex USD SFC Deposit
35|9125|PAY|CCARD|Amex NIS SFC Deposit
36|9126|PAY|CCARD|MC USD SFC Deposit
37|9127|PAY|CCARD|IsraCard NIS SFC Deposit
38|9128|PAY|CCARD|Diners USD SFC Deposit
39|9129|PAY|CCARD|Diners ILS SFC Deposit
40|9200|PAY|CCARD|AMEX USD offline
41|9201|PAY|CCARD|Visa Usd - Off Line
42|9202|PAY|CCARD|Master Card Usd - Off Line
43|9203|PAY|CCARD|Diners Usd - Off Line
44|9204|PAY|CCARD|AMEX NIS offline
45|9205|PAY|CCARD|Visa Nis - Off Line
46|9206|PAY|CCARD|Isrcard Nis offline
47|9207|PAY|CCARD|Diners Nis - Off Line
48|9208|PAY|CCARD|Mastercard NIS Offline
49|9209|PAY|CCARD|AMEX USD offline OPI
50|9210|PAY|CCARD|Visa Usd - Off Line OPI
51|9211|PAY|CCARD|Master Card Usd - Off Line OPI
52|9212|PAY|CCARD|Diners Usd - Off Line OPI
53|9213|PAY|CCARD|AMEX NIS offline OPI
54|9214|PAY|CCARD|Visa Nis - Off Line OPI
55|9215|PAY|CCARD|Isrcard Nis offline OPI
56|9216|PAY|CCARD|Diners Nis - Off Line OPI
57|9217|PAY|CCARD|Mastercard NIS Offline OPI
58|9218|PAY|CCARD|Visa Usd E-Shop
59|9219|PAY|CCARD|Visa Nis E-Shop
60|9220|PAY|CCARD|Mastercard Usd E-Shop
61|9221|PAY|CCARD|Isrcard Nis E-Shop
62|9250|PAY|OTHER PAY|Parking Visa Nis
63|9251|PAY|OTHER PAY|Parking Isr Nis
64|9252|PAY|OTHER PAY|Parking Diners Nis
65|9253|PAY|OTHER PAY|Parking Amex Nis
66|9254|PAY|OTHER PAY|Parking Leumi Card Nis
67|9300|PAY|CASH|POS - Cash USD
68|9301|PAY|OTHER PAY|POS - Check
